sample_index,layout,rig_id,camera_index,camera_name,camera_role,mount_wall,valid_depth_fraction,far_no_hit_fraction,raw_mb,width,height
0,C1_standard_cath,4CamClassic,0,DepthCam_BL,legacy_corner_back_left,corner_minusX_minusZ,0.9700455729166667,0.02995442708333329,1.2288,640,480
0,C1_standard_cath,4CamClassic,1,DepthCam_BR,legacy_corner_back_right,corner_plusX_minusZ,0.9684147135416666,0.03158528645833336,1.2288,640,480
0,C1_standard_cath,4CamClassic,2,DepthCam_FL,legacy_corner_front_left,corner_minusX_plusZ,0.9609505208333333,0.03904947916666668,1.2288,640,480
0,C1_standard_cath,4CamClassic,3,DepthCam_FR,legacy_corner_front_right,corner_plusX_plusZ,0.9601204427083333,0.0398795572916667,1.2288,640,480
4,C1_standard_cath,4CamClassic,0,DepthCam_BL,legacy_corner_back_left,corner_minusX_minusZ,0.9722298177083334,0.027770182291666612,1.2288,640,480
4,C1_standard_cath,4CamClassic,1,DepthCam_BR,legacy_corner_back_right,corner_plusX_minusZ,0.9714095052083334,0.028590494791666643,1.2288,640,480
4,C1_standard_cath,4CamClassic,2,DepthCam_FL,legacy_corner_front_left,corner_minusX_plusZ,0.9649576822916667,0.035042317708333326,1.2288,640,480
4,C1_standard_cath,4CamClassic,3,DepthCam_FR,legacy_corner_front_right,corner_plusX_plusZ,0.9634928385416667,0.036507161458333326,1.2288,640,480
8,C1_standard_cath,4CamClassic,0,DepthCam_BL,legacy_corner_back_left,corner_minusX_minusZ,0.9711653645833334,0.028834635416666643,1.2288,640,480
8,C1_standard_cath,4CamClassic,1,DepthCam_BR,legacy_corner_back_right,corner_plusX_minusZ,0.9700748697916667,0.029925130208333317,1.2288,640,480
8,C1_standard_cath,4CamClassic,2,DepthCam_FL,legacy_corner_front_left,corner_minusX_plusZ,0.965302734375,0.03469726562499997,1.2288,640,480
8,C1_standard_cath,4CamClassic,3,DepthCam_FR,legacy_corner_front_right,corner_plusX_plusZ,0.9620930989583333,0.03790690104166672,1.2288,640,480
12,C1_standard_cath,4CamClassic,0,DepthCam_BL,legacy_corner_back_left,corner_minusX_minusZ,0.9720735677083333,0.027926432291666692,1.2288,640,480
12,C1_standard_cath,4CamClassic,1,DepthCam_BR,legacy_corner_back_right,corner_plusX_minusZ,0.9712467447916666,0.028753255208333384,1.2288,640,480
12,C1_standard_cath,4CamClassic,2,DepthCam_FL,legacy_corner_front_left,corner_minusX_plusZ,0.9697916666666667,0.03020833333333328,1.2288,640,480
12,C1_standard_cath,4CamClassic,3,DepthCam_FR,legacy_corner_front_right,corner_plusX_plusZ,0.9652180989583333,0.034781901041666674,1.2288,640,480
16,C1_standard_cath,4CamClassic,0,DepthCam_BL,legacy_corner_back_left,corner_minusX_minusZ,0.9689029947916666,0.03109700520833336,1.2288,640,480
16,C1_standard_cath,4CamClassic,1,DepthCam_BR,legacy_corner_back_right,corner_plusX_minusZ,0.9714127604166667,0.028587239583333313,1.2288,640,480
16,C1_standard_cath,4CamClassic,2,DepthCam_FL,legacy_corner_front_left,corner_minusX_plusZ,0.9659440104166667,0.034055989583333335,1.2288,640,480
16,C1_standard_cath,4CamClassic,3,DepthCam_FR,legacy_corner_front_right,corner_plusX_plusZ,0.9627962239583333,0.03720377604166669,1.2288,640,480
20,C1_standard_cath,4CamClassic,0,DepthCam_BL,legacy_corner_back_left,corner_minusX_minusZ,0.967626953125,0.03237304687499998,1.2288,640,480
20,C1_standard_cath,4CamClassic,1,DepthCam_BR,legacy_corner_back_right,corner_plusX_minusZ,0.9705208333333334,0.029479166666666612,1.2288,640,480
20,C1_standard_cath,4CamClassic,2,DepthCam_FL,legacy_corner_front_left,corner_minusX_plusZ,0.9660481770833333,0.03395182291666665,1.2288,640,480
20,C1_standard_cath,4CamClassic,3,DepthCam_FR,legacy_corner_front_right,corner_plusX_plusZ,0.96302734375,0.03697265625000001,1.2288,640,480
