sample_index,sample_name,layout,rig_id,strict_roi_surface_recall,strict_roi_surface_precision,strict_roi_surface_f2,strict_roi_false_empty_rate,strict_roi_overfill_ratio,strict_roi_surface_iou_weighted,strict_roi_surface_iou_unweighted,strict_roi_filled_iou_weighted,strict_roi_filled_iou_unweighted,strict_roi_robert_loss,strict_roi_robert_coverage,strict_roi_robert_overfill,strict_roi_gt_surface_voxels,strict_roi_reconstruction_voxels,visible_gt_surface_voxels,distance_gt_surface_voxels,distance_reconstruction_voxels,gt_to_reconstruction_median_cm,gt_to_reconstruction_p95_cm,reconstruction_to_gt_median_cm,reconstruction_to_gt_p95_cm,visible_gt_recall_at_5cm,surface_precision_at_5cm,surface_f1_at_5cm,surface_f2_at_5cm,visible_gt_recall_at_10cm,surface_precision_at_10cm,surface_f1_at_10cm,surface_f2_at_10cm,visible_gt_recall_at_15cm,surface_precision_at_15cm,surface_f1_at_15cm,surface_f2_at_15cm,free_volume_voxels_total,certified_free_volume_fraction,single_view_certified_free_volume_fraction,redundantly_certified_free_volume_fraction,unknown_free_volume_fraction,roi_certified_free_volume_fraction,roi_single_view_certified_free_volume_fraction,roi_redundantly_certified_free_volume_fraction,roi_unknown_free_volume_fraction,roi_visible_1plus,roi_visible_2plus,roi_visible_3plus,visible_by_at_least_1_camera,visible_by_at_least_2_cameras,visible_by_at_least_3_cameras,redundant_coverage_fraction,single_view_risk_fraction,blind_surface_fraction,observable_surface_fraction,redundant_surface_fraction,strong_redundancy_fraction,single_view_surface_fraction,strict_missed_surface_fraction,strict_extra_surface_fraction,navigation_visibility_score,headline_threshold_cm,mean_view_diversity_deg,metric_scope,num_depth_cameras,raw_depth_mb_per_sample,reconstruction_voxels_total,gt_props_voxels_total,gt_surface_voxels_total,roi_x_min,roi_x_max,roi_y_min,roi_y_max,roi_z_min,roi_z_max
0,sample_0000,C1_standard_cath,4CamClassic,0.05255222916217962,0.03231106243154436,0.04670107935420414,0.9474477708378204,0.9514322636226578,0.00942347175722142,0.004965893587994543,0.01107766042630942,0.005773928492116367,9.960869551889289,0.10098776564329925,0.9707472085521954,9286,9130,8493,9286,9130,71.58910638314256,157.78147774003992,142.214628652442,255.0000037997961,0.008595313787825267,0.009967141292442498,0.009230536220093335,0.008838614326671353,0.023666548922642177,0.03231106243154436,0.027321327983799343,0.02500449106720408,0.0340280230778288,0.04238773274917853,0.037750611312964734,0.03542534037378307,545797,0.8762671835865716,0.2663059709012692,0.6099612126853025,0.12373281641342844,0.8762671835865716,0.2663059709012692,0.6099612126853025,0.12373281641342844,0.9146026276114582,0.6044583243592505,0.09541244884772776,0.9146026276114582,0.6044583243592505,0.09541244884772776,0.6044583243592505,0.3101443032522076,0.08539737238854189,0.9146026276114582,0.6044583243592505,0.09541244884772776,0.3101443032522076,0.9474477708378204,0.9676889375684556,59.26843290790275,10.0,102.91307746780029,roi,4,4.9152,12252,32125,14215,-4.0,4.0,0.0,2.35,-2.0,2.0
4,sample_0004,C1_standard_cath,4CamClassic,0.042366839800387,0.02173460898502496,0.03560669476629421,0.957633160199613,0.9580405336592321,0.005900031523543742,0.0030450041288191576,0.008407603922822578,0.004326123128119801,10.171230760370335,0.08404670377265122,1.0116977983221451,9819,9616,8926,9819,9616,83.81527432014595,130.83863648847063,139.73188820698857,238.3799523733424,0.004369258346403764,0.006135607321131447,0.00510393075866903,0.004636196586018472,0.014452162222720144,0.02173460898502496,0.01736060358055607,0.015490198331533108,0.023974904772574503,0.033277870216306155,0.027870571151354134,0.025394745898273875,544983,0.881324738569827,0.26728907140222724,0.6140356671675997,0.11867526143017305,0.881324738569827,0.26728907140222724,0.6140356671675997,0.11867526143017305,0.9090538751400347,0.5949689377737041,0.09114981158977492,0.9090538751400347,0.5949689377737041,0.09114981158977492,0.5949689377737041,0.3140849373663306,0.09094612485996538,0.9090538751400347,0.5949689377737041,0.09114981158977492,0.3140849373663306,0.957633160199613,0.978265391014975,58.8517689498881,10.0,102.53061923719555,roi,4,4.9152,12769,33097,14737,-4.0,4.0,0.0,2.35,-2.0,2.0
8,sample_0008,C1_standard_cath,4CamClassic,0.051864194959383464,0.03311886931758253,0.04659017438690474,0.9481358050406166,0.9546969381378879,0.008775977408007571,0.0046856902179635675,0.01158197390648471,0.006148877364057017,10.029714658943417,0.0995860504905508,1.0255751640757713,9602,9481,8781,9602,9481,84.85281500679116,163.78339598215476,128.16005808949663,241.29857383590198,0.008313403940325703,0.009387195443518617,0.008817729377004415,0.008508049319185815,0.027217856736134836,0.03311886931758253,0.02987979956175285,0.02822361515453864,0.038150552328891925,0.044404598671026266,0.0410406847961337,0.03925634315535659,545597,0.8968964272164254,0.2714421083693642,0.6254543188470612,0.1031035727835747,0.8968964272164254,0.2714421083693642,0.6254543188470612,0.1031035727835747,0.9144969797958759,0.6104978129556342,0.10216621537179754,0.9144969797958759,0.6104978129556342,0.10216621537179754,0.6104978129556342,0.30399916684024164,0.08550302020412415,0.9144969797958759,0.6104978129556342,0.10216621537179754,0.30399916684024164,0.9481358050406166,0.9668811306824174,60.05146641167084,10.0,102.83546001443911,roi,4,4.9152,12712,32829,14741,-4.0,4.0,0.0,2.35,-2.0,2.0
12,sample_0012,C1_standard_cath,4CamClassic,0.04097235836110567,0.016867950893302727,0.03186523444371931,0.9590276416388943,0.9654969613801215,0.005534641775196614,0.0028268200753818686,0.005944586750280272,0.0030448530272865677,10.226980913950658,0.08376222638251762,1.0646031780027196,10202,10019,9408,10202,10019,74.41433404153459,147.10964958874317,131.33925732274437,251.25186896542272,0.00467687074829932,0.005689190537977842,0.005133600520728857,0.004849450472956773,0.015412414965986394,0.016867950893302727,0.016107367551328473,0.01568307353169504,0.023278061224489797,0.027447849086735202,0.025191572023112247,0.024007489140722038,544601,0.8901893312718853,0.2803410203066098,0.6098483109652755,0.10981066872811471,0.8901893312718853,0.2803410203066098,0.6098483109652755,0.10981066872811471,0.922172123113115,0.6756518329739267,0.1353656145853754,0.922172123113115,0.6756518329739267,0.1353656145853754,0.6756518329739267,0.24652029013918839,0.07782787688688493,0.922172123113115,0.6756518329739267,0.1353656145853754,0.24652029013918839,0.9590276416388943,0.9831320491066973,62.84818688525523,10.0,102.60158988564845,roi,4,4.9152,12904,32615,14544,-4.0,4.0,0.0,2.35,-2.0,2.0
16,sample_0016,C1_standard_cath,4CamClassic,0.053841438496117694,0.03718430951101558,0.04941430035359265,0.9461585615038823,0.9153044544340008,0.012273786786715254,0.006271740276167387,0.012469193672572506,0.0063647714468435,9.883690234147538,0.10546439717590828,0.938334206125036,9788,9305,9031,9788,9305,65.76473316980041,132.8062434936581,135.83077909609756,243.3618740991336,0.011405160004429189,0.012788823213326169,0.012057425493235959,0.011657410420927912,0.028236075739120806,0.03718430951101558,0.03209822062788165,0.029663765604408216,0.04085926254013952,0.047501343363782915,0.04393065981508763,0.04203480215024954,545058,0.8804494200617181,0.2971518627375435,0.5832975573241747,0.1195505799382818,0.8804494200617181,0.2971518627375435,0.5832975573241747,0.1195505799382818,0.9226604004903964,0.6122803432774826,0.12576624438087455,0.9226604004903964,0.6122803432774826,0.12576624438087455,0.6122803432774826,0.3103800572129138,0.07733959950960359,0.9226604004903964,0.6122803432774826,0.12576624438087455,0.3103800572129138,0.9461585615038823,0.9628156904889844,59.95230247261711,10.0,104.18157662716581,roi,4,4.9152,12344,33140,14845,-4.0,4.0,0.0,2.35,-2.0,2.0
20,sample_0020,C1_standard_cath,4CamClassic,0.040480206369679535,0.017250337732515848,0.031891089631063865,0.9595197936303205,0.9382875285246552,0.005916754337976585,0.003054678749618165,0.006264996488193077,0.003239835381337381,10.177146286566513,0.08013361587532297,0.9784824455428716,10079,9623,9224,10079,9623,84.26136839907934,181.1663610359456,144.30869904698525,236.69601109793788,0.005203816131830009,0.006235061831029824,0.005672954190894908,0.00538184166621818,0.01702081526452732,0.017250337732515848,0.01713480791388546,0.01706622983264984,0.024392888117953166,0.024524576535383976,0.024458555070555565,0.024419112540469738,543786,0.8798203705134006,0.3003387361940175,0.579481634319383,0.1201796294865995,0.8798203705134006,0.3003387361940175,0.579481634319383,0.1201796294865995,0.9151701557694216,0.627840063498363,0.10080365115586863,0.9151701557694216,0.627840063498363,0.10080365115586863,0.627840063498363,0.28733009227105866,0.08482984423057843,0.9151701557694216,0.627840063498363,0.10080365115586863,0.28733009227105866,0.9595197936303205,0.9827496622674842,59.784306580873256,10.0,104.7775550171076,roi,4,4.9152,12227,32596,14342,-4.0,4.0,0.0,2.35,-2.0,2.0
24,sample_0024,C1_standard_cath,4CamClassic,0.055310415597742434,0.03376187814421464,0.04904927074547792,0.9446895844022576,0.8869163673678809,0.010464070269122733,0.005433320781107106,0.011540636413115285,0.006027328094922528,9.855734560861036,0.1077857569142775,0.9335921302222129,9745,8945,8967,9745,8945,74.33034484420097,193.0673486400059,132.7591824517835,233.93375479167625,0.008252481320397012,0.011291224147568474,0.009535614064073866,0.00872193844089924,0.0274339243894279,0.03376187814421464,0.030270730145070677,0.028502357855366763,0.04260064681610349,0.042593627724986025,0.04259713698139598,0.04259924281281564,545731,0.8865869814982107,0.283265931383777,0.6033210501144337,0.11341301850178934,0.8865869814982107,0.283265931383777,0.6033210501144337,0.11341301850178934,0.9201641867624423,0.5901487942534633,0.11216008209338123,0.9201641867624423,0.5901487942534633,0.11216008209338123,0.5901487942534633,0.330015392508979,0.07983581323755772,0.9201641867624423,0.5901487942534633,0.11216008209338123,0.330015392508979,0.9446895844022576,0.9662381218557854,59.2173787426863,10.0,104.7476302179061,roi,4,4.9152,12017,32448,14650,-4.0,4.0,0.0,2.35,-2.0,2.0
28,sample_0028,C1_standard_cath,4CamClassic,0.04480160723254646,0.025821089023336213,0.03905928228303143,0.9551983927674536,0.9057759919638373,0.0077026395585408506,0.004076726075367167,0.010804282613750426,0.005662617590647547,10.105082493370283,0.08644352419465662,0.9695177355410065,9955,9256,8895,9955,9256,61.237244482085494,125.39936390844065,139.01438981605426,245.81497472856557,0.007195053400786959,0.008426966292134831,0.007762437081808809,0.007411753806244403,0.022934232715008433,0.025821089023336213,0.024292193898103425,0.023458781713813253,0.0388982574480045,0.036084701815038894,0.03743869366936713,0.03830098521200963,545112,0.884060523341992,0.31211934428154214,0.57194117906045,0.1159394766580079,0.884060523341992,0.31211934428154214,0.57194117906045,0.1159394766580079,0.8935208437970869,0.5460572576594676,0.09251632345554997,0.8935208437970869,0.5460572576594676,0.09251632345554997,0.5460572576594676,0.3474635861376193,0.10647915620291311,0.8935208437970869,0.5460572576594676,0.09251632345554997,0.3474635861376193,0.9551983927674536,0.9741789109766638,56.25247028246076,10.0,105.89347197504381,roi,4,4.9152,12211,32850,14590,-4.0,4.0,0.0,2.35,-2.0,2.0
32,sample_0032,C1_standard_cath,4CamClassic,0.04482829529097265,0.02661839863713799,0.039432998343379946,0.9551717047090273,0.9399547604359448,0.009228797080066149,0.004782677248121091,0.010542322696217334,0.005409370129274778,10.109352917908193,0.08905026336803912,0.9998555518160006,9726,9392,8895,9726,9392,72.4568848106389,142.91606140917978,129.90381250338342,266.92696027830436,0.008544125913434513,0.009689097103918229,0.009080661774891233,0.008750947724095626,0.0209106239460371,0.02661839863713799,0.023421787097466364,0.02184757776610068,0.03024170882518269,0.04035349233390119,0.03457341420392145,0.03183726610534531,544878,0.8771137759278222,0.31290674242674504,0.5642070335010773,0.12288622407217763,0.8771137759278222,0.31290674242674504,0.5642070335010773,0.12288622407217763,0.9145589142504627,0.5788607855233395,0.09747069710055521,0.9145589142504627,0.5788607855233395,0.09747069710055521,0.5788607855233395,0.3356981287271232,0.08544108574953732,0.9145589142504627,0.5788607855233395,0.09747069710055521,0.3356981287271232,0.9551717047090273,0.973381601362862,57.73496298213162,10.0,103.73522020320719,roi,4,4.9152,12395,32732,14630,-4.0,4.0,0.0,2.35,-2.0,2.0
36,sample_0036,C1_standard_cath,4CamClassic,0.04508074903398395,0.022281005188727235,0.03742208286329615,0.954919250966016,0.9521450510254632,0.006852047779980941,0.0035766460127953253,0.008337522147210067,0.004306911708309979,10.130652327331422,0.08827424124645145,1.0133947400177112,10093,9829,9276,10093,9829,75.49834547772049,160.19518157714992,132.7591824517835,240.83189516452074,0.005821474773609315,0.007223522230135314,0.006447154020390765,0.006056584995971756,0.018973695558430356,0.022281005188727235,0.020494780062892345,0.019554206305399523,0.02996981457524795,0.03153932241326687,0.030734544194013506,0.030271093838142877,544053,0.879445568722165,0.2954087193710907,0.5840368493510742,0.12055443127783506,0.879445568722165,0.2954087193710907,0.5840368493510742,0.12055443127783506,0.9190528088774398,0.6240959080550876,0.09006241949866244,0.9190528088774398,0.6240959080550876,0.09006241949866244,0.6240959080550876,0.29495690082235215,0.08094719112256019,0.9190528088774398,0.6240959080550876,0.09006241949866244,0.29495690082235215,0.954919250966016,0.9777189948112728,59.58066977693788,10.0,104.30408595408956,roi,4,4.9152,12828,32923,14657,-4.0,4.0,0.0,2.35,-2.0,2.0
