Layout,Layout Id,Rig,Samples,Navigation Visibility Score (%),Observable Surface (%),Redundant Surface (%),Strong Redundancy (%),Blind Surface (%)
Standard Cath,C1_standard_cath,4CamClassic,10,59.424551342420315,91.48863916904399,60.74780686574424,9.913717412821192,8.511360830956017
Standard Cath,C1_standard_cath,3Cam,10,52.82104101660461,95.14715653347122,43.603689879066074,4.239683350732321,4.852843466528793
Standard Cath,C1_standard_cath,4CamAsym,10,71.60832078385069,97.69111958630809,75.03033029674043,26.985168553555017,2.308880413691916
Standard Cath,C1_standard_cath,5Cam,10,84.14577261754675,98.32294287018225,87.38966586138166,59.80044656644399,1.6770571298177668
Mirrored Head,N1_mirrored_head,4CamClassic,10,61.524625378891216,92.3425124702054,67.85368265252909,10.099728059214218,7.657487529794594
Mirrored Head,N1_mirrored_head,3Cam,10,52.68707652373166,85.1479264544203,46.375668938557155,9.298613841671173,14.852073545579703
Mirrored Head,N1_mirrored_head,4CamAsym,10,67.99151300780981,89.88454073819672,66.34745885477858,35.045115254622566,10.115459261803277
Mirrored Head,N1_mirrored_head,5Cam,10,74.33839240712211,91.72048678391619,72.34853644795581,52.317177692508785,8.279513216083814
Radial Echo,C2_radial_echo,4CamClassic,10,58.39212695084285,89.68011678077055,61.67436345572179,9.888666106620784,10.319883219229453
Radial Echo,C2_radial_echo,3Cam,10,54.34592705139332,93.5412970623263,47.197968029335584,6.111805567583809,6.458702937673707
Radial Echo,C2_radial_echo,4CamAsym,10,72.36596971633035,97.53021612626675,75.13456966849736,31.39252058546517,2.46978387373326
Radial Echo,C2_radial_echo,5Cam,10,86.01412375205456,98.20359118238684,91.38998038318418,62.39514017054755,1.7964088176131625
Mirrored Support,N2_mirrored_support,4CamClassic,10,59.822626051206214,87.74209279582365,64.12805813418048,9.254122161240725,12.257907204176355
Mirrored Support,N2_mirrored_support,3Cam,10,46.82222462919607,74.90069712569712,36.055356149018806,5.811526579844252,25.099302874302875
Mirrored Support,N2_mirrored_support,4CamAsym,10,63.10014470871134,87.63151535295553,58.971098700806834,26.081108105766504,12.368484647044463
Mirrored Support,N2_mirrored_support,5Cam,10,71.95064470385748,89.51629661434303,69.9942221662677,44.30880353978793,10.483703385656963
