sample_index,layout,rig_id,camera_index,camera_name,camera_role,mount_wall,valid_depth_fraction,far_no_hit_fraction,raw_mb,width,height
36,C1_standard_cath,4CamClassic,0,DepthCam_BL,legacy_corner_back_left,corner_minusX_minusZ,0.9669954427083334,0.033004557291666625,1.2288,640,480
36,C1_standard_cath,4CamClassic,1,DepthCam_BR,legacy_corner_back_right,corner_plusX_minusZ,0.96943359375,0.030566406249999956,1.2288,640,480
36,C1_standard_cath,4CamClassic,2,DepthCam_FL,legacy_corner_front_left,corner_minusX_plusZ,0.9642057291666667,0.03579427083333331,1.2288,640,480
36,C1_standard_cath,4CamClassic,3,DepthCam_FR,legacy_corner_front_right,corner_plusX_plusZ,0.9654817708333333,0.03451822916666669,1.2288,640,480
9,N1_mirrored_head,4CamClassic,0,DepthCam_BL,legacy_corner_back_left,corner_minusX_minusZ,0.9660221354166667,0.033977864583333295,1.2288,640,480
9,N1_mirrored_head,4CamClassic,1,DepthCam_BR,legacy_corner_back_right,corner_plusX_minusZ,0.9693196614583334,0.03068033854166663,1.2288,640,480
9,N1_mirrored_head,4CamClassic,2,DepthCam_FL,legacy_corner_front_left,corner_minusX_plusZ,0.967080078125,0.032919921875000036,1.2288,640,480
9,N1_mirrored_head,4CamClassic,3,DepthCam_FR,legacy_corner_front_right,corner_plusX_plusZ,0.9684733072916667,0.031526692708333304,1.2288,640,480
21,N1_mirrored_head,4CamClassic,0,DepthCam_BL,legacy_corner_back_left,corner_minusX_minusZ,0.9626920572916666,0.037307942708333375,1.2288,640,480
21,N1_mirrored_head,4CamClassic,1,DepthCam_BR,legacy_corner_back_right,corner_plusX_minusZ,0.96806640625,0.031933593750000044,1.2288,640,480
21,N1_mirrored_head,4CamClassic,2,DepthCam_FL,legacy_corner_front_left,corner_minusX_plusZ,0.9679296875,0.03207031250000003,1.2288,640,480
21,N1_mirrored_head,4CamClassic,3,DepthCam_FR,legacy_corner_front_right,corner_plusX_plusZ,0.96744140625,0.03255859375000003,1.2288,640,480
3,N2_mirrored_support,4CamClassic,0,DepthCam_BL,legacy_corner_back_left,corner_minusX_minusZ,0.9673697916666667,0.0326302083333333,1.2288,640,480
3,N2_mirrored_support,4CamClassic,1,DepthCam_BR,legacy_corner_back_right,corner_plusX_minusZ,0.964482421875,0.035517578125000004,1.2288,640,480
3,N2_mirrored_support,4CamClassic,2,DepthCam_FL,legacy_corner_front_left,corner_minusX_plusZ,0.9692805989583333,0.030719401041666705,1.2288,640,480
3,N2_mirrored_support,4CamClassic,3,DepthCam_FR,legacy_corner_front_right,corner_plusX_plusZ,0.9732259114583334,0.02677408854166663,1.2288,640,480
27,N2_mirrored_support,4CamClassic,0,DepthCam_BL,legacy_corner_back_left,corner_minusX_minusZ,0.9728743489583334,0.027125651041666643,1.2288,640,480
