sample_index,layout,rig_id,semantic_id,priority,object_id,semantic_zone,object_region_recall,object_region_precision,object_region_f2,object_presence_success,object_target_surface_voxels,object_prediction_voxels,object_visible_surface_recall,object_visible_1plus,object_visible_2plus,object_visible_3plus,object_mean_view_diversity_deg
36,C1_standard_cath,4CamClassic,patient,P1,Prop_00_patient,table_patient,0.4576043068640646,0.6860986547085202,0.4902589079723148,1,743,223,0.44549125168236875,0.44549125168236875,0.013458950201884253,0.0,81.72668179084494
36,C1_standard_cath,4CamClassic,doctor_operator,P1,Prop_01_doctor_operator,operator_lane,0.0,1.0,0.0,0,1366,0,0.9956076134699854,0.9956076134699854,0.6002928257686676,0.25036603221083453,109.80168455386013
36,C1_standard_cath,4CamClassic,medical_trolley,P2,Prop_02_medical_trolley,operator_peripheral_equipment,0.0,1.0,0.0,0,947,0,1.0,1.0,0.996832101372756,0.9134107708553326,98.44815840479309
36,C1_standard_cath,4CamClassic,doctor_anesthesia,P2,Prop_03_doctor_anesthesia,head_anesthesia_corner,0.0,0.0,0.0,0,836,1,0.9988038277511961,0.9988038277511961,0.7882775119617225,0.0,84.61714178617693
36,C1_standard_cath,4CamClassic,anesthesia_machine,P2,Prop_04_anesthesia_machine,head_anesthesia_corner,0.0,1.0,0.0,0,1049,0,0.9990467111534795,0.9990467111534795,0.9637750238322211,0.01334604385128694,98.27945062618144
36,C1_standard_cath,4CamClassic,radiation_shield,P1,Prop_05_radiation_shield,operator_lane,0.017110266159695818,1.0,0.021296734500709895,0,1052,2,0.8621673003802282,0.8621673003802282,0.48098859315589354,0.07604562737642585,108.53700261284287
36,C1_standard_cath,4CamClassic,uhd_tv,P3,Prop_06_uhd_tv,screen_side,0.0,1.0,0.0,0,1648,0,0.9733009708737864,0.9733009708737864,0.7864077669902912,0.4532766990291262,107.73344394461068
36,C1_standard_cath,4CamClassic,waste_bin,P3,Prop_07_waste_bin,waste_corner,0.0,1.0,0.0,0,266,0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0
36,C1_standard_cath,4CamClassic,doctor_ultrasound,P2,Prop_08_doctor_ultrasound,peripheral_support,0.0,1.0,0.0,0,991,0,1.0,1.0,0.8244197780020182,0.0,107.30726383825879
36,C1_standard_cath,4CamClassic,ultrasound,P2,Prop_09_ultrasound,peripheral_support,0.002938295788442703,1.0,0.0036701737215561535,0,1021,1,0.9461312438785504,0.9461312438785504,0.6650342801175319,0.03819784524975514,114.37410810202806
36,C1_standard_cath,4CamClassic,ceiling_lamp,P3,Prop_10_ceiling_lamp,ceiling_over_table,0.0,1.0,0.0,0,331,0,1.0,1.0,0.9939577039274925,0.9697885196374623,106.36705193896252
