Layout,Layout Id,Rig,Samples,Navigation Visibility Score (%),Observable Surface (%),Redundant Surface (%),Strong Redundancy (%),Blind Surface (%)
Standard Cath,C1_standard_cath,4CamClassic,1,59.48395663920375,91.78638660457743,62.211433666897854,8.96661052214406,8.21361339542257
Standard Cath,C1_standard_cath,3Cam,1,53.27343733215678,96.06658079857327,44.03051619934608,4.597245615773309,3.9334192014267315
Standard Cath,C1_standard_cath,4CamAsym,1,72.17272478386741,97.67165362132171,77.1722976320222,25.829783017933224,2.3283463786782916
Standard Cath,C1_standard_cath,5Cam,1,84.2419011154131,98.34538789259884,87.27831170117904,60.89368869513524,1.654612107401169
Mirrored Head,N1_mirrored_head,4CamClassic,2,61.5707000418421,91.61695139108066,66.98902864407144,10.38931295070321,8.38304860891934
Mirrored Head,N1_mirrored_head,3Cam,2,53.1153296673982,84.99029278446883,46.389198808365194,8.594275490288794,15.009707215531165
Mirrored Head,N1_mirrored_head,4CamAsym,2,68.7686853829505,90.17667404803636,67.7060317945443,34.96280695183715,9.823325951963636
Mirrored Head,N1_mirrored_head,5Cam,2,74.99546154837665,91.5549126173938,73.15470290831682,51.6186888408446,8.445087382606205
Mirrored Support,N2_mirrored_support,4CamClassic,2,60.868243288805104,89.43251352552952,65.92016538084395,10.382411572528746,10.567486474470487
Mirrored Support,N2_mirrored_support,3Cam,2,48.43778845475161,78.32025899899793,38.24177229118382,7.030194641629858,21.679741001002068
Mirrored Support,N2_mirrored_support,4CamAsym,2,64.30435774917242,88.54785084261351,60.99294962588628,27.346669896879284,11.452149157386488
Mirrored Support,N2_mirrored_support,5Cam,2,72.49245559758413,90.57866022180036,70.59127306854813,45.962832397880284,9.421339778199641
